,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
49,15.433432657129385,-0.12827404491207114,0.994938452560967,0.002273903282550197,7.93395794159927,0.908383682297705,0.9049853805956372,2.471895785149289,1.6163585667896994,2.813758805848714,-0.9519977185345854,0.9925208108258355,0.007069948606735807,0.0,0.0035616122753401994,-1.61550825323929,-1.61550825323929
50,15.425842375999517,-0.12827200616581852,0.9945201467808432,0.002413447424990923,8.413495690301222,0.9675565498958042,0.9637012799538625,2.6213810047505253,1.6654674856157035,2.8677771521882836,-0.9994955416982032,0.9920339967349328,0.007142085272959718,0.0,0.0035997180018358045,-1.616275331641838,-1.616275331641838
51,15.418333557254392,-0.12827028700604384,0.994102538547808,0.0025469784033302387,8.916164286931169,1.0260952023113519,1.0217595176194385,2.7780785443024296,1.7134276347199093,2.9158195873005854,-1.044583368814569,0.9915524143894568,0.007206198066999696,0.0,0.003633795834906456,-1.6170386600922353,-1.6170386600922353
52,15.411510099000814,-0.1282689411323609,0.9937201137860405,0.002664818890747792,9.398736557350562,1.0792914260660902,1.0744947217826182,2.9285128129034876,1.7565147777722774,2.9553096191606145,-1.0838838359360752,0.9911147932304745,0.0072589500404262545,0.0,0.003662012760785346,-1.6177356801712721,-1.6177356801712721
53,15.405113011103792,-0.1282678384845045,0.9933592932071946,0.0027725407460003223,9.874654188411547,1.1291641070725136,1.1239140429926098,3.0768736814432907,1.796474671138266,2.9890722987197287,-1.119260287691914,0.990704521152308,0.007304155184436681,0.0,0.003686343924190976,-1.6183917069354044,-1.6183917069354044
54,15.398388892714973,-0.12826682155902655,0.9929778556044612,0.002883119183981198,10.400686342371593,1.1815868009613493,1.1758381393663937,3.2408580965924614,1.8379883848177685,3.0214626198823904,-1.1548963941935753,0.9902732787961039,0.007347678537029035,0.0,0.0037099246714814736,-1.6190836447056718,-1.6190836447056718
55,15.390894171409975,-0.12826583428467847,0.9925503284608584,0.003003384603373931,11.019816440350471,1.2400177400630599,1.2336866942646234,3.4338658423852584,1.883599113116105,3.054155927295422,-1.1927318689176327,0.9897926186058434,0.007391844127769137,0.0,0.0037340368016589177,-1.6198574311625153,-1.6198574311625153
56,15.383068859108926,-0.12826494201268573,0.9921015375414092,0.0031257794250447598,11.705288522370878,1.3010265053365633,1.2940574108874883,3.6475562064846723,1.930372753685301,3.084811858210988,-1.2301095095099208,0.9892907602395885,0.007433567792749073,0.0,0.003757018710529954,-1.6206678962313146,-1.6206678962313146
57,15.376539663390178,-0.1282642888576296,0.9917253863017776,0.003225507363274847,12.30947176196108,1.3519306149329682,1.344405718551097,3.8359062551742107,1.968643332914939,3.107916229964789,-1.259636657181441,0.9888720278290288,0.007465287250719587,0.0,0.00377464780104504,-1.621345902806317,-1.621345902806317
58,15.370010499077674,-0.12826370628023157,0.9913478424028161,0.003323092444233727,12.944575381823354,1.402834724529373,1.3947327111186307,4.033896212915532,2.006142009060771,3.128962799643287,-1.2876637821672465,0.9884532994452521,0.007494452839416615,0.0,0.0037909999610617495,-1.6220253697394809,-1.6220253697394809
