,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,kS,H,sigmaE,sigmaB,s,xi,xieff
50,15.426427865082742,-0.12827215194368985,1.0,0.002412124970126712,8.374000533975646,0.9629921187454704,0.9591731233782158,2.6095378152610262,1.6672847269261244,2.8743009008996294,-1.0005385850444946,8.374000533975646,0.9920715476897435,0.0071499894814917855,0.0,0.0,-1.616215990701474,-1.616215990701474
51,15.41984606238089,-0.12827061188065367,1.0,0.0025310193866644338,8.81091595012819,1.0143036701961057,1.0100670235644071,2.7457850411503575,1.7099742429945264,2.9180009243564924,-1.040682824138402,8.81091595012819,0.9916494192536618,0.007208131885497114,0.0,0.0,-1.6168845736983475,-1.6168845736983475
52,15.412609695929902,-0.12826914543985715,1.0,0.002658202309547357,9.31742295877047,1.070718843862994,1.0659980064675478,2.9037354852500874,1.7564244641262756,2.961745132944983,-1.0831297493767285,9.31742295877047,0.9911853153604722,0.00726634954681009,0.0,0.0,-1.6176231559838095,-1.6176231559838095
53,15.404905128382161,-0.12826780492976952,1.0,0.002789936280449776,9.888481943451902,1.1307847999009384,1.125519659902282,3.0818179300775568,1.805317600902781,3.003858960020857,-1.126345201634908,9.888481943451902,0.9906911888208471,0.007322501004621655,0.0,0.0,-1.6184130632376732,-1.6184130632376732
54,15.397528711485304,-0.12826670082891167,1.0,0.0029128234481650183,10.4677162418661,1.1882929908000621,1.1824789149893122,3.2624515272459793,1.8515366641467927,3.0402962995033778,-1.1657836935760386,10.4677162418661,0.9902181124627631,0.007371251323521071,0.0,0.0,-1.6191723219178025,-1.6191723219178025
55,15.39085440257133,-0.12826582935797406,1.0,0.003021484475303465,11.020762736317474,1.2403277903762273,1.2339935793818952,3.4349198064216613,1.8927923871404038,3.0703003167346252,-1.199822683142764,11.020762736317474,0.9897900681158817,0.007411580337638643,0.0,0.0,-1.6198615429903096,-1.6198615429903096
56,15.384401228335433,-0.12826508492606664,1.0,0.0031243797067901503,11.583024100773788,1.2906388776616973,1.2837805830076012,3.610262856061996,1.9321016326893599,3.0968643794256754,-1.2312425193731362,11.583024100773788,0.9893762084282212,0.007447484593652636,0.0,0.0,-1.6205297316810834,-1.6205297316810834
57,15.377423102195342,-0.12826437280047973,1.0,0.003233330653646135,12.223081346233373,1.3450429730529558,1.3375945270439278,3.8098679397080186,1.973882225555622,3.1231097504474032,-1.2635702860879543,12.223081346233373,0.9889286846804985,0.007483204831670214,0.0,0.0,-1.6212540750842814,-1.6212540750842814
58,15.369705684388258,-0.12826368056384468,1.0,0.003351072988238179,12.971870816166938,1.4052111937722418,1.397081716756691,4.043382995754005,2.0190965124040936,3.1493953878525707,-1.297340834924306,12.971870816166938,0.98843375111648,0.007519305043982794,0.0,0.0,-1.6220571234410646,-1.6220571234410646
59,15.361933580782631,-0.1282630683890723,1.0,0.003466731602841539,13.77194256322782,1.465806075436349,1.4569606415141403,4.292892042159933,2.0634489657692145,3.173224166212055,-1.3292711491244231,13.77194256322782,0.987935312969811,0.007552400955244641,0.0,0.0,-1.6228677463140713,-1.6228677463140713
60,15.354889530845178,-0.12826257534293445,1.0,0.0035689905503426497,14.539257679512076,1.520724952791034,1.5112045351243322,4.5321866858012,2.1025144011029258,3.192739409642661,-1.3564383369682784,14.539257679512076,0.9874835680735579,0.0075798451528970336,0.0,0.0,-1.6236039197234033,-1.6236039197234033
61,15.348431633173632,-0.1282621670365122,1.0,0.0036605469589723895,15.279913645738699,1.5710740752448693,1.560913040091571,4.763168223904245,2.1373044410031774,3.2090434260950884,-1.379895562196964,15.279913645738699,0.9870694154018448,0.007603069324143325,0.0,0.0,-1.6242799776180827,-1.6242799776180827
62,15.341752283031678,-0.12826178231004867,1.0,0.0037529739172585015,16.085349313405153,1.623149916993062,1.6123043573204703,5.014352785338441,2.1721886391685814,3.224442498651318,-1.402734298300266,16.085349313405153,0.9866410620414268,0.007625310756220551,0.0,0.0,-1.624980289750287,-1.624980289750287
63,15.334247291177912,-0.12826138885292954,1.0,0.0038539862084241206,17.040675792576575,1.6816630875900884,1.670021772859947,5.312283459525775,2.209978637075613,3.240121988998702,-1.426720740909001,17.040675792576575,0.9861597609171244,0.007648335235644092,0.0,0.0,-1.6257683837866062,-1.6257683837866062
64,15.326233173543821,-0.12826100686820327,1.0,0.00395841909952674,18.122997606867397,1.744145880165111,1.7316237321088677,5.649820259129495,2.2486127921901886,3.2551465283867134,-1.4504482306019804,18.122997606867397,0.9856458107010923,0.007670845025653126,0.0,0.0,-1.626611271966079,-1.626611271966079
65,15.319589515013377,-0.12826071533086067,1.0,0.0040422184501147165,19.071721935123158,1.7959438999453492,1.7826671987484388,5.945693635322795,2.279247029438562,3.2663844835799667,-1.4687021062058554,19.071721935123158,0.9852197499703877,0.007688037326802796,0.0,0.0,-1.6273110051680821,-1.6273110051680821
66,15.312945871071815,-0.12826044306871484,1.0,0.004123431019063335,20.069684695442753,1.8477419197255873,1.8336885963348408,6.256923410525325,2.30858865787128,3.2766222852859626,-1.4857287937999195,20.069684695442753,0.9847936911098368,0.0077040246519596385,0.0,0.0,-1.628011585403343,-1.628011585403343
67,15.305485819531008,-0.128260156884523,1.0,0.004211468101639114,21.252118134712326,1.9059052924479438,1.890953605741053,6.625683959683877,2.3399741389650313,3.2870369849215297,-1.5034540763439685,21.252118134712326,0.9843152768280341,0.00772067459015098,0.0,0.0,-1.6287992260193636,-1.6287992260193636
68,15.297429270916975,-0.1282598673366058,1.0,0.004302720365137586,22.606782122552183,1.9687194819855716,1.9527663450962236,7.0481582749237495,2.3720025520263315,3.2971296465617024,-1.5210310396069258,22.606782122552183,0.9837986102529936,0.007737265041682381,0.0,0.0,-1.6296509519313929,-1.6296509519313929
69,15.290708032537932,-0.1282596387995209,1.0,0.004375765483905261,23.802191085601798,2.0211228140165387,2.004309376551323,7.420967032750674,2.397242813094719,3.3047273392417287,-1.5345243567339781,23.802191085601798,0.9833675780093938,0.007750114858585311,0.0,0.0,-1.6303623597591255,-1.6303623597591255
70,15.283986805866148,-0.12825942025835652,1.0,0.004445982222675398,25.060262509855647,2.073526146047506,2.0558298205202608,7.813318835547068,2.421149971183996,3.3116541530267036,-1.5470182620918762,25.060262509855647,0.9829365472665511,0.007762155190475315,0.0,0.0,-1.6310745161403504,-1.6310745161403504
71,15.276506827678322,-0.12825918701125802,1.0,0.004520790910900018,26.53800764571735,2.1318453324358577,2.113139892699351,8.27418057920846,2.4462138245615273,3.3186549722349135,-1.5598221533543801,26.53800764571735,0.9824568588050664,0.007774699181620638,0.0,0.0,-1.6318679270972765,-1.6318679270972765
72,15.268498147267131,-0.12825894704097218,1.0,0.004597003688937837,28.216083617488394,2.194286769480042,2.174469876044285,8.797520109618405,2.4712909076341947,3.3254154861841108,-1.5723374004381405,28.216083617488394,0.9819432657958493,0.007787239528845454,0.0,0.0,-1.632718400194694,-1.632718400194694
