# This data is taken from: https://arxiv.org/abs/2005.03544
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2020).
#
T[GeV] f[Hz] g_*rho g_*s
3.0763 7.781052731037198e-08 78.8538 78.3317
3.23011 8.172195041805488e-08 79.036 78.5427
3.39162 8.582812023118556e-08 79.2046 78.7392
3.5612 9.01383155375373e-08 79.3604 78.9222
3.73926 9.466305980067394e-08 79.5044 79.0924
3.92622 9.941300262080536e-08 79.6374 79.2506
4.12253 1.04399609935436e-07 79.7602 79.3975
4.32866 1.096348092006997e-07 79.8735 79.5338
4.54509 1.1513077051528175e-07 79.9781 79.6604
4.77235 1.2090114386159646e-07 80.0748 79.7778
5.01097 1.2695931461329113e-07 80.1642 79.8868
5.26151 1.3331945383886044e-07 80.2468 79.988
5.52459 1.3999748858869012e-07 80.3233 80.0819
5.80082 1.4700886733986362e-07 80.3943 80.1693
6.09086 1.543704683452098e-07 80.4603 80.2506
6.3954 1.6209993045712413e-07 80.5219 80.3264
6.71517 1.702159735048447e-07 80.5798 80.3974
7.05093 1.7873789931566374e-07 80.6345 80.4643
7.40348 1.8768664916688024e-07 80.6869 80.5276
7.77365 1.970833606010103e-07 80.7376 80.5882
8.16234 2.0695155084336127e-07 80.7876 80.6469
8.57045 2.1731468333819688e-07 80.8379 80.7047
8.99897 2.2819889086108677e-07 80.8897 80.7626
9.44892 2.3963114120248184e-07 80.9442 80.8217
9.92137 2.516400500095784e-07 81.003 80.8835
10.4174 2.642056750873071e-07 80.9766 80.8581
10.9383 2.7739873120019887e-07 80.9432 80.8238
11.4852 2.9125945294066413e-07 80.9224 80.8
12.0595 3.0582585658091805e-07 80.9158 80.7882
12.6625 3.211333888616103e-07 80.9248 80.7899
13.2956 3.372211862937223e-07 80.9512 80.8066
13.9604 3.5413324534262517e-07 80.9964 80.8397
14.6584 3.7191114254261075e-07 81.0618 80.8908
15.3913 3.906022495334623e-07 81.1488 80.9613
16.1609 4.1025722587045e-07 81.2589 81.0526
16.9689 4.309239868942875e-07 81.3933 81.1661
17.8174 4.526613646106258e-07 81.5535 81.3035
18.7082 4.755219245750684e-07 81.741 81.4661
19.6436 4.99570378938347e-07 81.9572 81.6557
20.6258 5.248703325604626e-07 82.2037 81.874
21.6571 5.514887111425888e-07 82.4821 82.1227
22.74 5.79498483122704e-07 82.7941 82.4036
23.877 6.089731688460637e-07 83.1413 82.7185
25.0708 6.399922996088707e-07 83.5253 83.0692
26.3243 6.726406936767194e-07 83.9473 83.4572
27.6406 7.070232091844158e-07 84.4148 83.8884
29.0226 7.431986804565907e-07 84.9159 84.3549
30.4737 7.812797637211067e-07 85.4569 84.8612
31.9974 8.213672240592978e-07 86.0376 85.4077
33.5973 8.635839498604112e-07 86.6649 85.9997
35.2771 9.079972130123356e-07 87.3216 86.6244
37.041 9.547658776286811e-07 88.0218 87.2922
38.8931 1.0039839753524464e-06 88.7547 87.9948
40.8377 1.0557686085297951e-06 89.5166 88.729
42.8796 1.1102497549413196e-06 90.3038 89.4915
45.0236 1.1675823254389555e-06 91.1206 90.285
47.2747 1.2278728081661262e-06 91.9535 91.0985
49.6385 1.2912659502696955e-06 92.7971 91.927
52.1204 1.3575542325393446e-06 93.482 92.5926
54.7264 1.4271431615274743e-06 94.1356 93.2291
57.4627 1.5002647865711984e-06 94.7866 93.8658
60.3359 1.5770753320854597e-06 95.4283 94.4971
63.3527 1.657765677006657e-06 96.0624 95.1237
66.5203 1.742506140961844e-06 96.6822 95.7397
69.8463 1.8315180702410335e-06 97.2914 96.3476
73.3386 1.9249229327476397e-06 97.8717 96.934
77.0056 2.0229662848884995e-06 98.4295 97.5038
80.8559 2.1259311739396845e-06 98.9741 98.0624
84.8987 2.2340520310270615e-06 99.5029 98.6074
89.1436 2.347587659198087e-06 100.016 99.1384
93.6008 2.46681040592451e-06 100.513 99.6546
98.2808 2.591995731066281e-06 100.995 100.158
103.195 2.723270695513055e-06 101.417 100.601
108.355 2.861056245750521e-06 101.812 101.018
113.772 3.005824506143863e-06 102.214 101.441
119.461 3.1579028241670116e-06 102.608 101.856
125.434 3.317630715869192e-06 102.995 102.263
131.706 3.4853528700772084e-06 103.36 102.645
138.291 3.658624543658983e-06 103.38 102.758
145.206 3.841302939497005e-06 103.469 102.912
152.466 4.033356513323938e-06 103.57 103.063
160.089 4.23704532394073e-06 103.869 103.361
168.094 4.447922610558933e-06 103.869 103.43
176.498 4.66985273147855e-06 103.91 103.521
185.323 4.902064738114515e-06 103.871 103.544
194.589 5.14599035840996e-06 103.835 103.561
204.319 5.402289012358903e-06 103.806 103.576
214.535 5.6715299953842915e-06 103.782 103.588
225.261 5.954311612045239e-06 103.763 103.6
236.524 6.251382841730513e-06 103.749 103.611
248.351 6.5634245179183985e-06 103.739 103.622
260.768 6.8910938086307155e-06 103.731 103.632
273.807 7.2352921287833465e-06 103.727 103.642
287.497 7.596717737902808e-06 103.724 103.651
301.872 7.976288284104103e-06 103.723 103.66
316.965 8.374884848348713e-06 103.724 103.669
332.814 8.79343683754443e-06 103.725 103.678
349.454 9.232986233659305e-06 103.728 103.686
366.927 9.69454990497503e-06 103.732 103.695
385.273 1.0179153582614007e-05 103.735 103.703
404.537 1.0688103256434293e-05 103.74 103.711
424.764 1.1222494276434262e-05 103.745 103.719
446.002 1.1783632572242072e-05 103.75 103.726
468.302 1.2372831372637177e-05 103.755 103.733
491.717 1.2991511968127372e-05 103.761 103.741
516.303 1.3641179114038587e-05 103.767 103.748
542.118 1.4323326068582958e-05 103.773 103.755
569.224 1.5039519112627038e-05 103.778 103.762
597.686 1.579161759370171e-05 103.784 103.769
627.57 1.6581430142452794e-05 103.791 103.775
658.948 1.7410516339138937e-05 103.796 103.782
691.896 1.828117536922209e-05 103.802 103.789
726.491 1.9195424292950592e-05 103.808 103.795
762.815 2.0155375080392515e-05 103.814 103.801
800.956 2.116328628351477e-05 103.82 103.808
841.004 2.22216698658567e-05 103.826 103.814
883.054 2.333297274656636e-05 103.832 103.82
927.206 2.449972081006958e-05 103.837 103.826
973.567 2.5724973029750102e-05 103.843 103.832
1022.25 2.7011604605926786e-05 103.849 103.838
1073.36 2.8362391821807917e-05 103.855 103.844
1127.03 2.978080316482706e-05 103.86 103.849
1183.38 3.127010469231108e-05 103.866 103.855
1242.55 3.283379434165637e-05 103.871 103.861
1304.67 3.447572834869832e-05 103.877 103.866
1369.91 3.619986069655588e-05 103.882 103.872
1438.4 3.8010074207788776e-05 103.888 103.878
1510.32 3.991089799118769e-05 103.893 103.883
1585.84 4.190688465661179e-05 103.898 103.888
1665.13 4.400238771267183e-05 103.903 103.894
1748.39 4.620319240152512e-05 103.909 103.899
1835.81 4.8513754221302066e-05 103.914 103.904
1927.6 5.093967372803205e-05 103.919 103.91
2023.98 5.3487086244581915e-05 103.924 103.915
2125.17 5.616165296832613e-05 103.929 103.92
2231.43 5.897024800274299e-05 103.934 103.925
2343.0 6.19192171249348e-05 103.939 103.93
2460.15 6.501569914114966e-05 103.944 103.935
2583.16 6.826709736360828e-05 103.949 103.94
2712.32 7.16810796210722e-05 103.954 103.945
2847.94 7.526584255111104e-05 103.959 103.95
2990.33 7.902958305362208e-05 103.964 103.955
3139.85 8.298142064951607e-05 103.968 103.96
3296.84 8.713140322692826e-05 103.973 103.964
3461.68 9.148865365575953e-05 103.978 103.969
3634.77 9.606355274124627e-05 103.982 103.974
3816.51 0.00010086757824854564 103.987 103.979
4007.33 0.00010591199991765728 103.992 103.983
4207.7 0.00011120804872738727 103.996 103.988
4418.08 0.00011676925453235855 104.001 103.993
4638.99 0.00012260866164501375 104.005 103.997
4870.94 0.00012874013927669978 104.01 104.002
5114.49 0.0001351783083896717 104.015 104.007
5370.21 0.00014193801443960515 104.019 104.011
5638.72 0.00014903585696146986 104.023 104.015
5920.66 0.00015648900894584154 104.028 104.02
6216.69 0.00016431443292867215 104.032 104.024
6527.52 0.0001725305882365788 104.036 104.029
6853.9 0.00018115925467787527 104.041 104.033
7196.59 0.0001902176944534619 104.045 104.038
7556.42 0.00019973083174225375 104.05 104.042
7934.25 0.00020971895468631426 104.054 104.046
8330.96 0.00022020554149215256 104.058 104.051
8747.51 0.00023121772280356736 104.063 104.056
9184.88 0.00024278118511874712 104.068 104.06
9644.12 0.0002549209548531104 104.072 104.065
10126.3 0.00026766802970788994 104.076 104.069
10632.6 0.0002810541848952638 104.081 104.073
11164.3 0.0002951096892356668 104.085 104.078
11722.5 0.00030986825005593064 104.09 104.082
12308.6 0.0003253620432462563 104.094 104.087
12924.0 0.0003416331809310791 104.099 104.091
13570.3 0.0003587186315869896 104.103 104.096
14248.8 0.0003766565783527903 104.107 104.1
