# This data is taken from: https://arxiv.org/abs/1803.01038
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
# Original Header:
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2018).
#
#
T[GeV] f[Hz] g_*rho g_*s
5.5583034e-06 7.89485247531956e-14 3.3830836 3.9309363
5.5874334e-06 7.936227880016983e-14 3.3830836 3.9309363
5.6167161e-06 7.977820175352831e-14 3.3830836 3.9309363
5.6461523e-06 8.01963049762383e-14 3.3830836 3.9309363
5.6757427e-06 8.061659841089626e-14 3.3830836 3.9309363
5.7054882e-06 8.103909484084035e-14 3.3830836 3.9309363
5.7353896e-06 8.146380562903794e-14 3.3830836 3.9309363
5.7654478e-06 8.189074355882718e-14 3.3830836 3.9309363
5.7956634e-06 8.231991715243357e-14 3.3830836 3.9309363
5.8260374e-06 8.275134061356624e-14 3.3830836 3.9309363
5.8565706e-06 8.318502530519253e-14 3.3830836 3.9309363
5.8872638e-06 8.36209825902797e-14 3.3830836 3.9309363
5.9181178e-06 8.405922383179507e-14 3.3830836 3.9309363
5.9491336e-06 8.449976323344776e-14 3.3830836 3.9309363
5.9803119e-06 8.494261073783419e-14 3.3830836 3.9309363
6.0116536e-06 8.538777912829255e-14 3.3830836 3.9309363
6.0431596e-06 8.583528118816105e-14 3.3830836 3.9309363
6.0748307e-06 8.628512828040703e-14 3.3830836 3.9309363
6.1066677e-06 8.673733176799778e-14 3.3830836 3.9309363
6.1386716e-06 8.719190585464242e-14 3.3830836 3.9309363
6.1708433e-06 8.764886332367918e-14 3.3830836 3.9309363
6.2031835e-06 8.810821411770444e-14 3.3830836 3.9309363
6.2356933e-06 8.856997386079825e-14 3.3830836 3.9309363
6.2683734e-06 8.903415249555699e-14 3.3830836 3.9309363
6.3012248e-06 8.95007642256898e-14 3.3830836 3.9309363
6.3342483e-06 8.9969820414164e-14 3.3830836 3.9309363
6.3674449e-06 9.04413352646887e-14 3.3830836 3.9309363
6.4008155e-06 9.091532156060213e-14 3.3830836 3.9309363
6.434361e-06 9.13917920852425e-14 3.3830836 3.9309363
6.4680823e-06 9.187075962194802e-14 3.3830836 3.9309363
6.5019803e-06 9.23522369540569e-14 3.3830836 3.9309363
6.536056e-06 9.283623828527831e-14 3.3830836 3.9309363
6.5703103e-06 9.332277639895045e-14 3.3830836 3.9309363
6.6047441e-06 9.381186407841152e-14 3.3830836 3.9309363
6.6393583e-06 9.430351410699975e-14 3.3830836 3.9309363
6.6741539e-06 9.479774068842427e-14 3.3830836 3.9309363
6.7091319e-06 9.529455802639422e-14 3.3830836 3.9309363
6.7442933e-06 9.579398032461872e-14 3.3830836 3.9309363
6.7796389e-06 9.629601894606507e-14 3.3830836 3.9309363
6.8151697e-06 9.68006880944424e-14 3.3830836 3.9309363
6.8508867e-06 9.730800197345985e-14 3.3830836 3.9309363
6.886791e-06 9.781797620719745e-14 3.3830836 3.9309363
6.9228834e-06 9.833062215862253e-14 3.3830836 3.9309363
6.9591649e-06 9.884595403144421e-14 3.3830836 3.9309363
6.9956366e-06 9.936398744974251e-14 3.3830836 3.9309363
7.0322994e-06 9.988473519685568e-14 3.3830836 3.9309363
7.0691544e-06 1.0040821289686376e-13 3.3830836 3.9309363
7.1062025e-06 1.0093443333310492e-13 3.3830836 3.9309363
7.1434448e-06 1.0146341212965928e-13 3.3830836 3.9309363
7.1808823e-06 1.0199516349023592e-13 3.3830836 3.9309363
7.218516e-06 1.02529701618544e-13 3.3830836 3.9309363
7.2563469e-06 1.030670407182926e-13 3.3830836 3.9309363
7.2943761e-06 1.0360719641356182e-13 3.3830836 3.9309363
7.3326045e-06 1.0415018148768984e-13 3.3830836 3.9309363
7.3710334e-06 1.0469601440549857e-13 3.3830836 3.9309363
7.4096636e-06 1.0524470652995524e-13 3.3830836 3.9309363
7.4484962e-06 1.0579627348513997e-13 3.3830836 3.9309363
7.4875324e-06 1.063507323155037e-13 3.3830836 3.9309363
7.5267732e-06 1.0690809722475554e-13 3.3830836 3.9309363
7.5662196e-06 1.0746838241660465e-13 3.3830836 3.9309363
7.6058728e-06 1.0803160493550194e-13 3.3830836 3.9309363
7.6457338e-06 1.0859777898515658e-13 3.3830836 3.9309363
7.6858036e-06 1.0916691876927767e-13 3.3830836 3.9309363
7.7260835e-06 1.0973904275268712e-13 3.3830836 3.9309363
7.7665745e-06 1.1031416513909402e-13 3.3830836 3.9309363
7.8072777e-06 1.1089230155257846e-13 3.3830836 3.9309363
7.8481942e-06 1.1147346761722043e-13 3.3830836 3.9309363
7.8893251e-06 1.1205767895710001e-13 3.3830836 3.9309363
7.9306716e-06 1.1264495261666815e-13 3.3830836 3.9309363
7.9722348e-06 1.1323530422000489e-13 3.3830836 3.9309363
8.0140158e-06 1.1382874939119026e-13 3.3830836 3.9309363
8.0560157e-06 1.1442530375430432e-13 3.3830836 3.9309363
8.0982358e-06 1.1502498577416896e-13 3.3830836 3.9309363
8.1406772e-06 1.1562781107486417e-13 3.3830836 3.9309363
8.183341e-06 1.1623379528047005e-13 3.3830836 3.9309363
8.2262283e-06 1.1684295401506658e-13 3.3830836 3.9309363
8.2693405e-06 1.1745530716384662e-13 3.3830836 3.9309363
8.3126786e-06 1.1807086893051924e-13 3.3830836 3.9309363
8.3562438e-06 1.1868965635953542e-13 3.3830836 3.9309363
8.4000373e-06 1.1931168649534612e-13 3.3830836 3.9309363
8.4440603e-06 1.1993697638240229e-13 3.3830836 3.9309363
8.4883141e-06 1.205655444855258e-13 3.3830836 3.9309363
8.5327998e-06 1.2119740642879672e-13 3.3830836 3.9309363
8.5775186e-06 1.2183257925666592e-13 3.3830836 3.9309363
8.6224718e-06 1.2247108143395537e-13 3.3830836 3.9309363
8.6676606e-06 1.2311293000511602e-13 3.3830836 3.9309363
8.7130862e-06 1.2375814201459874e-13 3.3830836 3.9309363
8.7587498e-06 1.2440673450685456e-13 3.3830836 3.9309363
8.8046528e-06 1.2505872736707627e-13 3.3830836 3.9309363
8.8507964e-06 1.2571413763971478e-13 3.3830836 3.9309363
