,rhoChi,xi,B,dphi,sigmaE,H,N,kS,kh,xieff,G,E,ddphi,sigmaB,phi,a,t
86,0.0,-1.7249904424380589,3.5893117480325074,-0.1282376820263432,0.0,0.9292637141013323,8.295782555719146,12845.8557152646,12845.8557152646,-1.7249904424380589,-1.9050974168564103,3.0493528627372486,3.5576792045242988e-06,0.0,14.446975120060978,4006.937671932343,8.6
87,0.0,-1.726513326196159,3.5934581107051717,-0.128237325791877,0.0,0.9284414710717038,8.388667814939733,14096.177463370028,14096.177463370028,-1.726513326196159,-1.909719207682448,3.0562341778544564,3.567015533518376e-06,0.0,14.434151369662285,4396.956231419827,8.7
88,0.0,-1.7280388886037692,3.5976215704092387,-0.1282369686221516,0.0,0.927619232615804,8.481470850085946,15466.92448474148,15466.92448474148,-1.7280388886037692,-1.914365272120765,3.0631583926641928,3.5763844099682085e-06,0.0,14.421327654933776,4824.540857056764,8.8
89,0.0,-1.7295671367012742,3.60180223349618,-0.1282366105139053,0.0,0.9267969987456318,8.574191661615755,16969.57085010666,16969.57085010666,-1.7295671367012742,-1.9190357843149028,3.0701258507176084,3.5857859754326264e-06,0.0,14.408503975969138,5293.270954322847,8.9
90,0.0,-1.7310980775536375,3.606000206148201,-0.1282362514638621,0.0,0.9259747694732277,8.666830249988331,18616.67176377294,18616.67176377294,-1.7310980775536375,-1.923730919811148,3.0771368971628545,3.5952203716880125e-06,0.0,14.395680332862389,5807.06320731074,9.0
91,0.0,-1.7326317182505082,3.610215597419516,-0.1282358914687318,0.0,0.925152544810674,8.759386615664061,20421.9642686401,20421.9642686401,-1.7326317182505082,-1.9284508561980305,3.084191880459948,3.604687741528715e-06,0.0,14.38285672570787,6370.202996647759,9.1
92,0.0,-1.734168065906327,3.6144485157274784,-0.1282355305252099,0.0,0.9243303247700958,8.851860759104532,22400.477220995712,22400.477220995712,-1.734168065906327,-1.9331957727817437,3.091291153595177,3.614188228422178e-06,0.0,14.370033154600256,6987.378709520435,9.2
93,0.0,-1.735707127660437,3.618699071364995,-0.1282351686299774,0.0,0.9235081093636596,8.944252680772552,24568.65137796057,24568.65137796057,-1.735707127660437,-1.9379658497334744,3.098435072256478,3.6237219765889486e-06,0.0,14.357209619634553,7663.719204781941,9.3
94,0.0,-1.7372489106771878,3.622967375242384,-0.128234805779701,0.0,0.9226858986035752,9.036562381132144,26944.47051612153,26944.47051612153,-1.7372489106771878,-1.942761269208643,3.105623995562286,3.633289131265436e-06,0.0,14.344386120906094,8404.834719732746,9.4
95,0.0,-1.7387934221460486,3.6272535384564657,-0.1282344419710328,0.0,0.9218636925020948,9.128789860648554,29547.604582267413,29547.604582267413,-1.7387934221460486,-1.947582215346119,3.112858285706889,3.642889838037737e-06,0.0,14.331562658510556,9216.86153086826,9.5
96,0.0,-1.7403406692817158,3.631557673720922,-0.1282340772006102,0.0,0.9210414910715136,9.220935119788258,32399.565966807237,32399.565966807237,-1.7403406692817158,-1.9524288735464583,3.120138309754719,3.6525242437035753e-06,0.0,14.318739232543944,10106.510708865258,9.6
97,0.0,-1.741890659324222,3.63587989385642,-0.1282337114650559,0.0,0.92021929432417,9.312998159018964,35523.88008804497,35523.88008804497,-1.741890659324222,-1.957301430775568,3.127464436740072,3.662192495450671e-06,0.0,14.305915843102603,11081.121338530049,9.7
98,0.0,-1.7434433995390506,3.640220314033647,-0.1282333447609779,0.0,0.9193971022724452,9.404978978809613,38946.27158169757,38946.27158169757,-1.7434433995390506,-1.9622000760636664,3.134837040237413,3.671894741318984e-06,0.0,14.293092490283216,12148.718607572548,9.8
99,0.0,-1.7449988972172452,3.644579049851835,-0.1282329770849695,0.0,0.9185749149287644,9.496877579630388,42694.86750562271,42694.86750562271,-1.7449988972172452,-1.9671249997759932,3.142256497249111,3.6816311303407136e-06,0.0,14.280269174182806,13318.077204134655,9.9
100,0.0,-1.74655715967552,3.648956217250057,-0.1282326084336087,0.0,0.917752732305596,9.588693961952714,46800.41909548823,46800.41909548823,-1.74655715967552,-1.972076394062292,3.14972318815602,3.691401811946036e-06,0.0,14.267445894898737,14598.790502243342,10.0
101,0.0,-1.7481181942563742,3.653351933287611,-0.128232238803459,0.0,0.9169305544154528,9.680428126249272,51296.543743948496,51296.543743948496,-1.7481181942563742,-1.9770544535350385,3.157237497052389,3.701206936986958e-06,0.0,14.25462265252871,16001.346057055402,10.1
