,xi,B,kS,dphi,xieff,H,N,kh,sigmaE,rhoChi,G,E,ddphi,sigmaB,phi,a,t
85,-1.7234702303135543,3.585182376321118,11705.474094685509,-0.12823803732879818,-1.7234702303135543,0.9300859616927326,8.202815071967409,11705.474094685509,0.0,0.0,-1.900499726402145,3.0425141092397308,3.548375282570214e-06,0.0,14.45979890603649,3651.2142846164343,8.5
86,-1.7249904424380587,3.5893117480325074,12845.855715264599,-0.12823768202634328,-1.7249904424380587,0.9292637141013323,8.295782555719146,12845.855715264599,0.0,0.0,-1.9050974168564105,3.0493528627372486,3.5576792045242988e-06,0.0,14.446975120060978,4006.937671932343,8.6
87,-1.726513326196159,3.5934581107051713,14096.177463370028,-0.128237325791877,-1.726513326196159,0.9284414710717038,8.388667814939733,14096.177463370028,0.0,0.0,-1.9097192076824479,3.0562341778544564,3.567015533518376e-06,0.0,14.434151369662285,4396.956231419827,8.7
88,-1.7280388886037692,3.5976215704092387,15466.924484741481,-0.12823696862215161,-1.7280388886037692,0.927619232615804,8.481470850085946,15466.924484741481,0.0,0.0,-1.9143652721207651,3.0631583926641928,3.5763844099682085e-06,0.0,14.421327654933776,4824.540857056764,8.8
89,-1.7295671367012742,3.60180223349618,16969.57085010666,-0.12823661051390534,-1.7295671367012742,0.9267969987456318,8.574191661615755,16969.57085010666,0.0,0.0,-1.9190357843149028,3.0701258507176084,3.5857859754326264e-06,0.0,14.408503975969138,5293.270954322847,8.9
90,-1.7310980775536375,3.606000206148201,18616.67176377294,-0.12823625146386217,-1.7310980775536375,0.9259747694732277,8.666830249988331,18616.67176377294,0.0,0.0,-1.923730919811148,3.0771368971628545,3.5952203716880125e-06,0.0,14.395680332862389,5807.06320731074,9.0
91,-1.7326317182505082,3.6102155974195163,20421.9642686401,-0.12823589146873188,-1.7326317182505082,0.9251525448106741,8.759386615664061,20421.9642686401,0.0,0.0,-1.9284508561980302,3.0841918804599477,3.604687741528715e-06,0.0,14.38285672570787,6370.2029966477585,9.1
92,-1.734168065906327,3.6144485157274784,22400.477220995712,-0.12823553052520995,-1.734168065906327,0.9243303247700958,8.851860759104532,22400.477220995712,0.0,0.0,-1.9331957727817435,3.0912911535951775,3.614188228422178e-06,0.0,14.370033154600256,6987.378709520435,9.2
93,-1.735707127660437,3.618699071364995,24568.651377960574,-0.12823516862997747,-1.735707127660437,0.9235081093636597,8.944252680772552,24568.651377960574,0.0,0.0,-1.9379658497334746,3.098435072256478,3.6237219765889494e-06,0.0,14.357209619634553,7663.719204781941,9.3
94,-1.7372489106771878,3.6229673752423843,26944.470516121535,-0.12823480577970106,-1.7372489106771878,0.9226858986035753,9.036562381132144,26944.470516121535,0.0,0.0,-1.9427612692086427,3.105623995562286,3.633289131265436e-06,0.0,14.344386120906094,8404.834719732746,9.4
